name,role,website,slug,team,teamwebsite,owner
AJ Allmendinger,Driver,https://www.kauligracing.com/aj-allmendinger/,aj-allmendinger,Kaulig Racing,https://www.kauligracing.com/,Matt Kaulig
Alex Bowman,Driver,https://www.alexbowmanracing.com/,alex-bowman,Hendrick Motorsports,https://www.hendrickmotorsports.com/,Rick Hendrick
Aric Almirola,Driver,https://www.joegibbsracing.com/drivers,aric-almirola,Joe Gibbs Racing,https://www.joegibbsracing.com/,Joe Gibbs
Austin Cindric,Driver,https://www.teampenske.com/drivers/index.cfm/4417/Austin_Cindric,austin-cindric,Team Penske,https://www.teampenske.com/,Roger Penske
Austin Dillon,Driver,https://www.rcrracing.com/drivers/austin-dillon-cup/,austin-dillon,Richard Childress Racing,https://www.rcrracing.com/,Richard Childress
Austin Hill,Driver,https://www.rcrracing.com/drivers/austin-hill/,austin-hill,Richard Childress Racing,https://www.rcrracing.com/,Richard Childress
Blake Harris,Crew Chief,https://www.hendrickmotorsports.com/teams/55/team-48,blake-harris,Hendrick Motorsports,https://www.hendrickmotorsports.com/,Rick Hendrick
Brad Keselowski,Driver,http://www.bradracing.com/,brad-keselowski,RFK Racing,http://www.bradracing.com/,Brad Kewelowski
Bubba Wallace,Driver,https://www.23xiracing.com/team,bubba-wallace,23XI Racing,https://www.23xiracing.com/,Michael Jordan - Denny Hamlin
Carson Hocevar,Driver,https://www.nascar.com/drivers/carson-hocevar/,carson-hocevar,Spire Motorsports,https://www.spire-motorsports.com/cup/,NULL
Chase Briscoe,Driver,https://www.nascar.com/drivers/chase-briscoe,chase-briscoe,Stewart Haas,https://www.stewarthaasracing.com/,Tony Stewart
Chase Elliott,Driver,https://www.hendrickmotorsports.com/teams/87647/team-9,chase-elliott,Hendrick Motorsports,https://www.hendrickmotorsports.com/,Rick Hendrick
Chris Buescher,Driver,https://www.nascar.com/drivers/chris-buescher,chris-buescher,RFK Racing,http://www.bradracing.com/,Brad Kewelowski
Christopher Bell,Driver,https://www.nascar.com/drivers/christopher-bell,christopher-bell,Joe Gibbs Racing,https://www.joegibbsracing.com/,Joe Gibbs
Cole Custer,Driver,https://www.stewarthaasracing.com/team-00/,cole-custer,Stewart Haas,https://www.stewarthaasracing.com/,Tony Stewart
Corey LaJoie,Driver,https://www.nascar.com/drivers/corey-lajoie,corey-lajoie,Spire Motorsports,https://www.spire-motorsports.com/cup/,NULL
Daniel Hemric,Driver,https://www.nascar.com/drivers/daniel-hemric/,daniel-hemric,Kaulig Racing,https://www.kauligracing.com/,Matt Kaulig
Daniel Suarez,Driver,https://www.nascar.com/drivers/daniel-suarez,daniel-suarez,Track House Racing,https://www.trackhouse.com/,Justin Marks
Dave Blaney,Driver,NULL,dave-blaney,Team Penske,https://www.teampenske.com/,Roger Penske
Denny Hamlin,Driver,https://www.nascar.com/drivers/denny-hamlin,denny-hamlin,Joe Gibbs Racing,https://www.joegibbsracing.com/,Joe Gibbs
Denny Hamlin,Owner,https://www.nascar.com/drivers/denny-hamlin,denny-hamlin,Joe Gibbs Racing,https://www.joegibbsracing.com/,Joe Gibbs
Harrison Burton,Driver,https://www.nascar.com/drivers/harrison-burton,harrison-burton,Wood Brothers Racing,https://www.woodbrothersracing.com/,Glenn Wood
Jimmie Johnson,Driver,https://www.nascar.com/drivers/jimmie-johnson,jimmie-johnson,Legacy Motor Club,https://legacymotorclub.com/,Jimmy Johnson - Richard Petty
Joey Logano,Driver,https://www.nascar.com/drivers/joey-logano,joey-logano,Team Penske,https://www.teampenske.com/,Roger Penske
Josh Berry,Driver,https://www.stewarthaasracing.com/team-4/,josh-berry,Stewart Haas,https://www.stewarthaasracing.com/,Tony Stewart
Kaz Grala,Driver,https://www.nascar.com/drivers/kaz-grala,kaz-grala,Rick Ware Racing,https://www.wareracing.com/,NULL
Kyle Busch,Driver,https://www.rcrracing.com/drivers/kyle-busch/,kyle-busch,Richard Childress Racing,https://www.rcrracing.com/,Richard Childress
Kyle Larson,Driver,https://www.nascar.com/drivers/kyle-larson,kyle-larson,Hendrick Motorsports,https://www.hendrickmotorsports.com/,Rick Hendrick
Martin Truex Jr.,Driver,https://www.nascar.com/drivers/martin-truex-jr,martin-truex-jr,Joe Gibbs Racing,https://www.joegibbsracing.com/,Joe Gibbs
Michael McDowell,Driver,https://www.nascar.com/drivers/michael-mcdowell,michael-mcdowell,Front Row Motorsports,https://www.nascar.com/racing-teams/front-row-motorsports/,NULL
Noah Gragson,Driver,https://www.stewarthaasracing.com/team-10/,noah-gragson,Stewart Haas,https://www.stewarthaasracing.com/,Tony Stewart
Ricky Stenhouse Jr.,Driver,https://www.nascar.com/drivers/ricky-stenhouse-jr,ricky-stenhouse-jr,JTG Daugherty Racing,https://jtgdaughertyracing.com/,NULL
Riley Herbst,Driver,https://www.stewarthaasracing.com/team-98/,riley-herbst,Stewart Haas,https://www.stewarthaasracing.com/,Tony Stewart
Ross Chastain,Driver,https://rosschastain.com/,ross-chastain,Track House Racing,https://www.trackhouse.com/,Justin Marks
Ryan Blaney,Driver,https://www.teampenske.com/,ryan-blaney,Team Penske,https://www.teampenske.com/,Roger Penske
Ryan Preece,Driver,https://www.stewarthaasracing.com/team-41/,ryan-preece,Stewart Haas,https://www.stewarthaasracing.com/,Tony Stewart
Shane van Gisbergen,Driver,https://shanevangisbergen.com/,shane-van-gisbergen,Kaulig Racing,https://www.kauligracing.com/,Matt Kaulig
Sheldon Creed,Driver,https://sheldoncreedracing.com/,sheldon-creed,Joe Gibbs Racing,https://www.joegibbsracing.com/,Joe Gibbs
Ty Gibbs,Driver,https://www.tygibbs.com/,ty-gibbs,Joe Gibbs Racing,https://www.joegibbsracing.com/,Joe Gibbs
Tyler Reddick,Driver,https://www.23xiracing.com/team,tyler-reddick,23XI Racing,https://www.23xiracing.com/,Michael Jordan - Denny Hamlin
William Byron,Driver,https://www.hendrickmotorsports.com/teams/54/team-24,william-byron,Hendrick Motorsports,https://www.hendrickmotorsports.com/,Rick Hendrick
